0.45,-0.58,-0.21
0.46,-0.50,-0.32
0.52,-0.50,-0.42
0.62,-0.47,-0.17
0.28,-0.57,0.66
0.11,-0.50,0.71
0.04,-0.43,0.43
-0.06,-0.60,0.58
0.03,-0.49,0.96
-0.34,-0.31,1.06
-0.74,-0.06,1.06
-0.85,0.06,1.05
-0.87,0.19,0.78
-0.80,0.27,0.60
-0.76,0.37,0.33
-0.85,0.40,0.02
-0.98,0.44,-0.32
-1.02,0.46,-0.57
-0.92,0.47,-0.63
-0.85,0.49,-0.85
-0.93,0.56,-0.99
-0.74,0.47,-1.17
-0.59,0.41,-1.21
-0.35,0.35,-1.37
0.05,0.31,-1.65
0.12,0.41,-1.71
0.36,0.17,-1.72
0.59,0.06,-1.37
1.32,0.03,-1.08
1.74,0.05,-0.60
1.68,-0.13,-0.32
1.89,-0.31,-0.29
1.87,-0.29,0.21
1.71,-0.31,0.36
1.62,-0.25,0.01
1.47,-0.17,-0.07
1.34,-0.02,0.13
1.39,0.07,0.91
0.48,0.06,1.03
0.26,-0.21,0.94
-0.02,-0.23,0.79
-0.19,-0.30,0.33
-0.18,-0.31,0.71
-0.17,-0.31,0.40
-0.09,0.08,0.20
-0.24,0.03,0.06
-0.16,0.12,0.08
-0.11,0.20,-0.07
0.11,0.20,-0.36
-0.17,0.36,-0.50
-0.01,0.58,-0.50
0.44,0.71,-0.63
0.53,0.71,-0.50
0.39,0.40,-0.13
0.21,0.47,0.19
0.31,0.36,0.24
0.23,0.30,-0.02
0.41,0.04,-0.02
0.05,0.20,-0.17
-0.12,0.22,-0.16
1.92,2.03,1.06
0.09,0.24,0.20
0.58,0.25,-0.47
-2.08,-0.62,1.06
0.17,0.20,-0.22
0.33,-0.01,-0.15
-0.27,0.13,0.06
-0.02,-0.02,-0.03
-0.02,-0.01,-0.03
-0.02,-0.01,-0.00
-0.01,-0.00,-0.00
-0.01,-0.00,-0.00
